Symbol|Security Name|Market Category|Reg SHO Threshold Flag|Rule 3210|Filler
ISRY|ISORAY INC|U|Y|N|
ITCC|I T C LEARNING CORP|u|Y|N|
IVXFF|INNOVA EXPL LTD|u|N|Y|
JMPVF|JUMPTV INC COM STK|u|N|Y|
JRCC|JAMES RIVER COAL NEW|G|Y|N|
KGFHY|KINGFISHER PLC SPON ADR(NEW)|u|N|Y|
LMRA|LUMERA CORP|G|Y|N|
LMRXF|LARAMIDE RESOURCES LTD|u|N|Y|
MAMA|MAMMA COM INC|S|Y|N|
MAUXF|MART RESOURCES INC (F)|u|N|Y|
MBND|MULTIBAND CORP|S|Y|N|
MDTL|MEDIS TECHNOLOGIES LTD|G|Y|N|
MEAD|MEADE INSTRUMENTS CORP|G|Y|N|
MGAFF|MEGA URANIUM LTD (CANADA)|u|N|Y|
MHLOF|Mahalo Energy Ltd Common Share|u|N|Y|
MKGDU|MIDDLE KINGDOM ALLIANCE CORP U|U|Y|N|
MOBL|MOBILEPRO CORP-NEW|U|Y|N|
MOVT|MOTIVNATION INC NEW|U|Y|N|
MSMAW|MILLSTREAM II ACQUISITION CORP|U|Y|N|
MSTRW|MICROSTRATEGY INC|Q|Y|N|
MTOGF|MOTO GOLDMINES LTD ORD SHS (CA|u|N|Y|
MTXX|MATRIXX INITIATIVES INC|Q|Y|N|
MWSNF|MAWSON RES LTD|u|N|Y|
NAVR|NAVARRE CORP|G|Y|N|
NAWL|NATUREWELL INC|U|Y|N|
NEMFF|Neo Material Technologies Inc|u|N|Y|
NFLD|NORTHFIELD LABORATORIES INC|G|Y|N|
NHYB|NATIONAL HYPERBARIC REHAB CTN|u|Y|N|
NIHK|NIGHTHAWK SYS INC|U|Y|N|
NPUCF|NORTHERN PERU COPPER CORP|u|N|Y|
NRLS|Neuralstem, Inc. Common Stock|U|Y|N|
NRMX|NEUROCHEM INC|G|Y|N|
NURO|NEUROMETRIX INC|G|Y|N|
NVEC|NVE CORPORATION NEW|S|Y|N|
NWBT|NORTHWEST BIOTHERAPEUTICS INC|U|Y|N|
OBBCQ|ORBIT BRANDS CORPORATION|u|Y|N|
OBCI|OCEAN BIO-CHEM INC|S|Y|N|
OIVO|One IP Voice, Inc. Common Stoc|U|Y|N|
ONEQ|FIDELITY NASDAQ COMPOSITE INDE|G|Y|N|
ONSM|ONSTREAM MEDIA CORP|S|Y|N|
OSIIF|OSI Geospatial Inc. Ordinary S|U|Y|N|
OSTK|OVERSTOCK COM INC DEL|G|Y|N|
OTCI|Ortec International, Inc. New|U|Y|N|
OTLK|Otter Lake Resources, Inc. New|u|Y|N|
OXMI|OXFORD MEDIA, INC.|U|Y|N|
PARL|PARLUX FRAGRANCES INC|Q|Y|N|
PDVP|Podium Venture Group, Inc. Com|u|Y|N|
PEIX|PACIFIC ETHANOL, INC.|G|Y|N|
PGSW|Pegasus Wireless Corp. (NV) Ne|U|Y|N|
PHTW|PHOTOWORKS INC. NEW|U|Y|N|
PMRS|PREMIER MORTGAGE RES INC-NEW|u|Y|N|
PNPFF|PINETREE CAPITAL LTD|u|N|Y|
PRKR|PARKERVISION INC|G|Y|N|
PRTH|PRIME TIME HOLDINGS INC|u|N|Y|
PSDV|PSIVIDA LTD ADR|G|Y|N|
PTRN|Patron Systems, Inc. New Commo|U|Y|N|
PWEI|PW EAGLE INC|G|Y|N|
PWNX|POWERLINX INC NEW|U|Y|N|
QMMG|QUEST MINERALS & MINING INC|U|Y|N|
QMMI|Q COMM INTERNATIONAL INC NEW|u|Y|N|
QTWW|QUANTUM FUEL SYS TECHNOLOGIES|G|Y|N|
RCOQF|QUALITY DINO ENTERTAINMNT LTD|u|Y|N|
